TimeStamp: 09, Mode: Other
TimeStamp: 9600, Mode: Other
TimeStamp: 12004, Mode: Other
TimeStamp: 14402, Mode: Other
TimeStamp: 19209, Mode: Other
TimeStamp: 28802, Mode: Other
TimeStamp: 38405, Mode: Other
TimeStamp: 40809, Mode: Other
TimeStamp: 43208, Mode: Other
TimeStamp: 48008, Mode: Other
TimeStamp: 57609, Mode: Other
TimeStamp: 58809, Mode: Other
TimeStamp: 60009, Mode: Other
TimeStamp: 62409, Mode: Other
TimeStamp: 64809, Mode: Other
TimeStamp: 66008, Mode: Other
TimeStamp: 67205, Mode: Other
TimeStamp: 68404, Mode: Other
TimeStamp: 69605, Mode: Other
TimeStamp: 70808, Mode: Other
TimeStamp: 72009, Mode: Other
TimeStamp: 73208, Mode: Other
TimeStamp: 74405, Mode: Other
TimeStamp: 76804, Mode: Other
TimeStamp: 78009, Mode: Other
TimeStamp: 79205, Mode: Other
TimeStamp: 80404, Mode: Other
TimeStamp: 81602, Mode: Other
TimeStamp: 84000, Mode: Other
TimeStamp: 86405, Mode: Other
TimeStamp: 88809, Mode: Other
TimeStamp: 91208, Mode: Other
TimeStamp: 92408, Mode: Other
TimeStamp: 936011, Mode: Other
TimeStamp: 94809, Mode: Other
TimeStamp: 96008, Mode: Other
TimeStamp: 98409, Mode: Other
TimeStamp: 100809, Mode: Other
TimeStamp: 103204, Mode: Other
TimeStamp: 105005, Mode: Other
TimeStamp: 105604, Mode: Other
TimeStamp: 106804, Mode: Other
TimeStamp: 108002, Mode: Other
TimeStamp: 1092011, Mode: Other
TimeStamp: 110402, Mode: Other
TimeStamp: 112205, Mode: Other
TimeStamp: 112804, Mode: Other
TimeStamp: 115209, Mode: Other
TimeStamp: 117600, Mode: Other
TimeStamp: 119405, Mode: Other
TimeStamp: 120004, Mode: Other
TimeStamp: 1212011, Mode: Other
TimeStamp: 122402, Mode: Other
TimeStamp: 123604, Mode: Other
TimeStamp: 124805, Mode: Other
TimeStamp: 127200, Mode: Other
TimeStamp: 129609, Mode: Other
TimeStamp: 130808, Mode: Other
TimeStamp: 132005, Mode: Other
TimeStamp: 133204, Mode: Other
TimeStamp: 134402, Mode: Other
TimeStamp: 135600, Mode: Other
TimeStamp: 136804, Mode: Other
TimeStamp: 1380011, Mode: Other
TimeStamp: 139202, Mode: Other
TimeStamp: 140404, Mode: Other
TimeStamp: 141605, Mode: Other
TimeStamp: 142809, Mode: Other
TimeStamp: 144009, Mode: Other
TimeStamp: 146400, Mode: Other
TimeStamp: 1476011, Mode: Other
TimeStamp: 148800, Mode: Other
TimeStamp: 1500011, Mode: Other
TimeStamp: 151209, Mode: Other
TimeStamp: 152407, Mode: Other
TimeStamp: 153605, Mode: Other
TimeStamp: 1548010, Mode: Other
TimeStamp: 156004, Mode: Other
TimeStamp: 158402, Mode: Other
TimeStamp: 1608010, Mode: Other
TimeStamp: 163205, Mode: Other
TimeStamp: 164409, Mode: Other
TimeStamp: 165607, Mode: Other
TimeStamp: 166804, Mode: Other
TimeStamp: 168001, Mode: Other
TimeStamp: 170402, Mode: Other
TimeStamp: 172807, Mode: Other
TimeStamp: 1752010, Mode: Other
TimeStamp: 177602, Mode: Other
TimeStamp: 178801, Mode: Other
TimeStamp: 180001, Mode: Other
TimeStamp: 181202, Mode: Other
TimeStamp: 182404, Mode: Other
TimeStamp: 183607, Mode: Other
TimeStamp: 184805, Mode: Other
TimeStamp: 187202, Mode: Other
TimeStamp: 192005, Mode: Other
TimeStamp: 193209, Mode: Other
TimeStamp: 194407, Mode: Other
TimeStamp: 195604, Mode: Other
TimeStamp: 196801, Mode: Other
TimeStamp: 199202, Mode: Other
TimeStamp: 201602, Mode: Other
TimeStamp: 204005, Mode: Other
TimeStamp: 2052010, Mode: Other
TimeStamp: 2064011, Mode: Other
TimeStamp: 207604, Mode: Other
TimeStamp: 208807, Mode: Other
TimeStamp: 210004, Mode: Other
TimeStamp: 211201, Mode: Other
TimeStamp: 213602, Mode: Other
TimeStamp: 216002, Mode: Other
TimeStamp: 2184010, Mode: Other
TimeStamp: 220805, Mode: Other
TimeStamp: 222009, Mode: Other
TimeStamp: 223207, Mode: Other
TimeStamp: 224404, Mode: Other
TimeStamp: 225601, Mode: Other
TimeStamp: 228002, Mode: Other
TimeStamp: 230402, Mode: Other
TimeStamp: 232805, Mode: Other
TimeStamp: 235208, Mode: Other
TimeStamp: 2376011, Mode: Other
TimeStamp: 2388011, Mode: Other
TimeStamp: 240007, Mode: Other
TimeStamp: 242409, Mode: Other
TimeStamp: 244804, Mode: Other
TimeStamp: 246004, Mode: Other
TimeStamp: 247204, Mode: Other
TimeStamp: 249604, Mode: Other
TimeStamp: 250804, Mode: Other
TimeStamp: 252005, Mode: Other
TimeStamp: 254407, Mode: Other
TimeStamp: 255607, Mode: Other
TimeStamp: 256808, Mode: Other
TimeStamp: 258008, Mode: Other
TimeStamp: 259209, Mode: Other
TimeStamp: 264000, Mode: Other
TimeStamp: 265204, Mode: Other
TimeStamp: 266402, Mode: Other
TimeStamp: 2676011, Mode: Other
TimeStamp: 268808, Mode: Other
TimeStamp: 271209, Mode: Other
TimeStamp: 273605, Mode: Other
